track_id,genre_top,split
2,Hip-Hop,train
5,Hip-Hop,train
10,Pop,train
140,Folk,test
141,Folk,train
148,Experimental,train
182,Rock,test
190,Folk,val
193,Folk,train
194,Folk,val
197,Folk,val
200,Folk,val
203,Folk,test
204,Folk,train
207,Folk,val
210,Folk,train
211,Folk,test
212,Folk,train
213,Pop,val
255,Rock,train
256,Rock,train
368,Rock,val
424,Experimental,train
459,Rock,train
534,Folk,train
540,Folk,train
546,Folk,train
574,Rock,train
602,Folk,train
615,Experimental,train
620,Folk,train
621,Folk,test
625,Folk,test
666,International,train
667,International,train
676,Hip-Hop,val
690,Rock,train
694,Hip-Hop,train
695,Hip-Hop,train
704,International,train
705,International,val
706,International,train
707,International,train
708,International,train
709,International,test
714,Folk,train
715,Folk,train
716,Folk,train
718,Folk,train
777,Rock,val
814,Folk,train
821,Pop,train
822,Pop,val
825,Rock,train
853,International,train
890,Folk,val
892,Folk,train
897,Experimental,train
993,Rock,test
995,Experimental,test
997,Experimental,val
998,Experimental,train
1039,Rock,train
1040,Rock,train
1066,Experimental,train
1069,Experimental,train
1073,Experimental,val
1075,Experimental,test
1082,International,train
1083,Experimental,train
1087,Rock,test
1102,Rock,test
1193,Folk,train
1195,Folk,train
1196,Folk,val
1197,Folk,train
1249,Experimental,test
1259,Experimental,train
1270,Rock,train
1276,Experimental,test
1277,Experimental,train
1278,Experimental,train
1417,Rock,train
1427,Rock,train
1443,Experimental,train
1482,Electronic,train
1510,Experimental,train
1544,Folk,train
1642,Pop,train
1644,Pop,train
1649,Pop,test
1661,Pop,train
1663,Pop,train
1666,Pop,train
1673,Experimental,train
1680,International,test
1681,International,train
1682,International,test
1683,International,train
1684,International,train
1685,International,train
1686,International,val
1687,International,train
1688,International,val
1689,International,train
1701,Folk,train
1702,Folk,train
1703,Folk,test
1704,Folk,train
1706,Rock,train
1720,Rock,train
1732,Experimental,train
1733,Experimental,train
1735,Experimental,test
1736,Experimental,train
1883,Rock,train
1891,Rock,train
1893,Folk,val
1924,Folk,train
1925,Folk,test
1929,Experimental,train
1930,Rock,val
2012,Experimental,train
2096,Experimental,train
2097,Folk,train
2099,Pop,train
3263,Folk,train
3264,Folk,train
3265,Folk,train
3266,Folk,train
3270,Folk,train
3271,Folk,train
3272,Folk,val
3273,Folk,train
3274,Folk,train
3492,Rock,train
3532,Pop,train
3533,Pop,train
3534,Pop,train
3535,Pop,train
3537,Pop,val
3538,Pop,train
3573,Electronic,test
3598,Folk,train
3624,Rock,train
3707,Folk,train
3708,Folk,train
3720,Rock,train
3721,Rock,train
3722,Rock,train
3724,Rock,train
3725,Rock,val
3761,Rock,train
3762,Rock,train
3763,Rock,test
3765,Rock,train
3766,Rock,val
3775,International,train
3776,International,train
3777,International,train
3778,International,train
3779,International,val
3832,Folk,test
3833,Rock,train
3840,Rock,train
3880,Folk,train
3895,International,train
3896,International,train
3904,Folk,train
3905,Folk,train
3906,Folk,train
3908,Folk,train
3909,Folk,test
3910,Folk,val
3911,Folk,train
3912,Folk,val
3913,Folk,train
3920,Folk,train
3921,Folk,test
3950,Rock,val
4013,Folk,train
4017,Folk,train
4022,Rock,train
4037,Folk,train
