track_id,genre_top,split
2,Hip-Hop,train
3,Hip-Hop,train
5,Hip-Hop,train
10,Pop,train
134,Hip-Hop,train
136,Rock,train
139,Folk,train
140,Folk,train
141,Folk,test
148,Experimental,val
181,Rock,val
182,Rock,train
190,Folk,train
193,Folk,train
194,Folk,train
197,Folk,train
198,Folk,train
200,Folk,test
203,Folk,test
204,Folk,train
207,Folk,val
208,Folk,test
209,Folk,train
210,Folk,train
211,Folk,train
212,Folk,train
213,Pop,train
237,Jazz,test
247,Rock,train
249,Rock,val
255,Rock,train
256,Rock,test
257,Rock,val
258,Rock,train
341,Rock,train
343,Rock,train
352,Rock,train
368,Rock,train
369,Rock,test
397,Electronic,train
398,Electronic,test
399,Electronic,test
400,Electronic,test
405,Electronic,train
414,Electronic,test
424,Experimental,train
425,Experimental,val
458,Rock,train
459,Rock,train
512,Rock,train
534,Folk,train
535,Folk,test
536,Folk,test
537,Folk,train
540,Folk,train
546,Folk,train
550,Electronic,val
564,Rock,val
573,Rock,test
574,Rock,train
583,Hip-Hop,train
584,Hip-Hop,val
585,Hip-Hop,train
590,Jazz,train
591,Jazz,val
592,Jazz,train
593,Jazz,train
602,Folk,train
603,Folk,train
605,Rock,val
608,Rock,train
615,Experimental,train
619,Folk,val
620,Folk,train
621,Folk,train
625,Folk,train
629,Folk,train
631,Folk,train
633,Rock,train
635,Rock,train
664,Electronic,train
665,Electronic,val
666,International,val
667,International,train
668,Hip-Hop,train
669,Hip-Hop,val
672,Hip-Hop,test
673,Hip-Hop,train
674,Hip-Hop,test
676,Hip-Hop,train
677,Hip-Hop,train
679,Hip-Hop,train
680,Hip-Hop,train
681,Hip-Hop,train
684,Hip-Hop,test
686,Hip-Hop,test
690,Rock,train
694,Hip-Hop,train
695,Hip-Hop,train
696,Rock,val
698,Rock,train
701,Rock,test
702,Rock,train
703,Rock,val
704,International,train
705,International,val
706,International,train
707,International,train
708,International,train
709,International,train
714,Folk,val
715,Folk,test
716,Folk,train
717,Folk,train
