representation,metric,k,value
tempo_only,genre_precision,5,0.14100287607852943
tempo_only,rhythm_precision,5,0.999124671751907
tempo_only,mood_proxy_precision,5,0.05664624234087783
tempo_only,genre_precision,10,0.13947730398899588
tempo_only,rhythm_precision,10,0.9985494560460172
tempo_only,mood_proxy_precision,10,0.05740902838564462
tempo_only,genre_precision,20,0.1353257471551832
tempo_only,rhythm_precision,20,0.9972239589846192
tempo_only,mood_proxy_precision,20,0.056027260222583475
mood_proxy,genre_precision,5,0.26072277103913966
mood_proxy,rhythm_precision,5,0.21055395773415034
mood_proxy,mood_proxy_precision,5,0.9998749531074153
mood_proxy,genre_precision,10,0.2575090658997124
mood_proxy,rhythm_precision,10,0.2095785919719895
mood_proxy,mood_proxy_precision,10,0.9999374765537077
mood_proxy,genre_precision,20,0.2510128798299362
mood_proxy,rhythm_precision,20,0.2086782543453795
mood_proxy,mood_proxy_precision,20,0.9999687382768538
mfcc_only,genre_precision,5,0.36523696386144805
mfcc_only,rhythm_precision,5,0.22183318744529198
mfcc_only,mood_proxy_precision,5,0.27307740402651
mfcc_only,genre_precision,10,0.34610478929598604
mfcc_only,rhythm_precision,10,0.218944604226585
mfcc_only,mood_proxy_precision,10,0.2519319744904339
mfcc_only,genre_precision,20,0.32587220207577844
mfcc_only,rhythm_precision,20,0.21718144304114043
mfcc_only,mood_proxy_precision,20,0.22822308365637112
handcrafted_full,genre_precision,5,0.38464424159059646
handcrafted_full,rhythm_precision,5,0.3186444916843817
handcrafted_full,mood_proxy_precision,5,0.5312742278354383
handcrafted_full,genre_precision,10,0.3637238964611729
handcrafted_full,rhythm_precision,10,0.31116668750781545
handcrafted_full,mood_proxy_precision,10,0.49669876203576346
handcrafted_full,genre_precision,20,0.3430223833937726
handcrafted_full,rhythm_precision,20,0.30088158059272224
handcrafted_full,mood_proxy_precision,20,0.44985619607352756
