representation,target,spearman_r,p_value,pair_sample_size
tempo_only,genre_mismatch,0.00801731114688917,0.00033645137224273466,200000
tempo_only,tempo_difference,0.9999983843226407,0.0,200000
tempo_only,mood_proxy_distance,0.01774674437124451,2.0686186399683654e-15,200000
mood_proxy_reference,genre_mismatch,0.10330195564234004,0.0,200000
mood_proxy_reference,tempo_difference,0.01401319222250053,3.676956123468039e-10,200000
mood_proxy_reference,mood_proxy_distance,1.0,0.0,200000
mfcc_only,genre_mismatch,0.2105285827621454,0.0,200000
mfcc_only,tempo_difference,0.02490791647766621,7.93872288388436e-29,200000
mfcc_only,mood_proxy_distance,0.2816795910313916,0.0,200000
handcrafted_full,genre_mismatch,0.20705271181362148,0.0,200000
handcrafted_full,tempo_difference,0.06728040305662868,2.4474364806739235e-199,200000
handcrafted_full,mood_proxy_distance,0.4592589280179991,0.0,200000
cnn_resnet_medium,genre_mismatch,0.3879724772936271,0.0,200000
cnn_resnet_medium,tempo_difference,0.01162626567031223,1.997530038238799e-07,200000
cnn_resnet_medium,mood_proxy_distance,0.22622361130636695,0.0,200000
vggish_pretrained,genre_mismatch,0.24073302472639754,0.0,200000
vggish_pretrained,tempo_difference,0.006719737205480165,0.0026542984977604074,200000
vggish_pretrained,mood_proxy_distance,0.26235923636506087,0.0,200000
