representation,query_genre,retrieved_genre,fraction
handcrafted_full,Blues,Blues,0.145454540848732
handcrafted_full,Blues,Classical,0.0
handcrafted_full,Blues,Country,0.0181818176060915
handcrafted_full,Blues,Easy Listening,0.00909090880304575
handcrafted_full,Blues,Electronic,0.072727270424366
handcrafted_full,Blues,Experimental,0.027272727340459824
handcrafted_full,Blues,Folk,0.08181817829608917
handcrafted_full,Blues,Hip-Hop,0.13636364042758942
handcrafted_full,Blues,Instrumental,0.00909090880304575
handcrafted_full,Blues,International,0.05454545468091965
handcrafted_full,Blues,Jazz,0.00909090880304575
handcrafted_full,Blues,Old-Time / Historic,0.0
handcrafted_full,Blues,Pop,0.027272727340459824
handcrafted_full,Blues,Rock,0.40909090638160706
handcrafted_full,Blues,Soul-RnB,0.0
handcrafted_full,Blues,Spoken,0.0
handcrafted_full,Classical,Blues,0.0021505376789718866
handcrafted_full,Classical,Classical,0.6236559152603149
handcrafted_full,Classical,Country,0.0021505376789718866
handcrafted_full,Classical,Easy Listening,0.0
handcrafted_full,Classical,Electronic,0.05483870953321457
handcrafted_full,Classical,Experimental,0.05376344174146652
handcrafted_full,Classical,Folk,0.062365591526031494
handcrafted_full,Classical,Hip-Hop,0.003225806402042508
handcrafted_full,Classical,Instrumental,0.08387096971273422
handcrafted_full,Classical,International,0.03548387065529823
handcrafted_full,Classical,Jazz,0.024731183424592018
handcrafted_full,Classical,Old-Time / Historic,0.006451612804085016
handcrafted_full,Classical,Pop,0.016129031777381897
handcrafted_full,Classical,Rock,0.027956988662481308
handcrafted_full,Classical,Soul-RnB,0.0010752688394859433
handcrafted_full,Classical,Spoken,0.0021505376789718866
handcrafted_full,Country,Blues,0.003703703638166189
handcrafted_full,Country,Classical,0.0
handcrafted_full,Country,Country,0.21111111342906952
handcrafted_full,Country,Easy Listening,0.0
handcrafted_full,Country,Electronic,0.08148147910833359
handcrafted_full,Country,Experimental,0.025925925001502037
handcrafted_full,Country,Folk,0.09259258955717087
handcrafted_full,Country,Hip-Hop,0.05925925821065903
handcrafted_full,Country,Instrumental,0.014814814552664757
handcrafted_full,Country,International,0.05925925821065903
handcrafted_full,Country,Jazz,0.018518518656492233
handcrafted_full,Country,Old-Time / Historic,0.0
handcrafted_full,Country,Pop,0.04444444552063942
handcrafted_full,Country,Rock,0.38148146867752075
handcrafted_full,Country,Soul-RnB,0.007407407276332378
handcrafted_full,Country,Spoken,0.0
handcrafted_full,Easy Listening,Blues,0.0
handcrafted_full,Easy Listening,Classical,0.0
handcrafted_full,Easy Listening,Country,0.0
handcrafted_full,Easy Listening,Easy Listening,0.0
